OTU ID	S48	S45	S29	S24	S20	S19	S17	S11	S50	S22	S53	S31	S3	S43	S47	S6	S1	S32	S36	S30	S10	S35	S14	S27	S38	S34	S46	S9	S33	S2	S42	S21	S23	S16	S4	S18	S41	S8	S37	S25	S44	S28	S15	S39	S5	S52	S49	S40	S26	S51	S12	S7	S13	PCRCtrl
e5c80b4a23b96b2fa35b6da6cac2bf73	306	0	0	0	0	0	0	0	1685	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	357	4	0	354	0	0	0	0
c62f25fdbaee572d968f023a38531c1e	0	127	130	0	0	0	34	0	0	0	17	0	10	51	135	117	0	0	72	47	0	91	0	0	170	18	1	0	104	0	280	0	54	32	125	0	0	0	106	0	20	0	67	52	0	0	34	88	116	198	0	202	0	0
66bba55a43e01d9f807137c1bfc100c4	0	6	0	0	0	0	0	0	2	0	0	0	0	0	85	0	0	0	11	0	0	30	0	0	37	0	199	0	0	0	1178	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	794	0	14	0	0	0	0
c3686b49fa8a2106e2b1874116223fdf	0	0	21	31	2	0	0	0	0	6	0	30	0	0	10	76	36	0	0	12	0	0	0	24	143	0	0	0	0	0	1	0	3	0	0	0	0	1189	0	0	0	38	0	0	1	0	48	348	7	4	50	284	0	0
be8e715722c0b6882524b555f37dd64f	23	33	0	0	0	0	5	0	0	0	34	0	102	21	92	389	138	0	35	0	0	49	0	0	9	32	43	0	29	676	3	0	0	0	0	0	59	62	27	0	0	0	0	27	301	18	27	1	0	49	0	64	0	0
e09bbf67ced1b7aa4898687f47d50ecd	1370	0	0	0	0	0	31	29	35	0	0	0	59	0	0	94	8	23	0	11	0	0	0	0	16	0	8	0	0	0	0	0	0	18	0	0	0	0	0	0	5	0	0	7	0	30	70	0	32	313	4	0	25	0
4715ca5231af58b3a42cec36c0085e96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	2	2	0	0	0	0	264	147	0	0	4	0	0	0	0	0	0	0	0	304	58	0	16	0	0	848	0	0	0	289	0	0	0	0	0	0
e7f156fa2e77c12fe86deb729ca14fe4	152	0	0	0	0	0	0	0	824	5	0	0	4	0	0	4	128	0	0	0	0	0	0	0	0	0	0	0	67	8	0	0	0	2	74	0	4	0	0	0	0	0	0	0	4	228	341	0	0	221	0	14	0	0
4323a6a9adf7618a8cedb04007bbc15f	0	0	0	0	0	0	0	0	0	0	0	0	320	0	0	228	150	0	0	0	0	0	0	0	0	0	0	0	0	377	0	0	0	0	55	0	0	349	0	0	0	0	0	0	236	0	0	0	0	0	0	140	0	0
3253177a44672689e4e154e842d63e35	17	33	0	0	0	0	17	17	0	0	58	0	8	26	21	0	139	0	28	0	19	40	0	0	53	19	7	0	72	3	5	0	140	48	1	7	14	129	356	0	0	0	0	100	0	0	5	64	0	36	0	0	0	0
3f121bc0e1cf21278f6c4a7ca88a1477	12	0	0	0	0	0	0	0	74	0	0	0	287	0	0	187	129	0	0	0	0	0	0	2	0	3	0	0	0	103	0	0	0	0	41	0	0	272	0	0	2	0	0	0	111	2	30	0	0	146	0	51	0	0
e0f1938338e6f9b8cf8408e672ee6cd1	0	2	2	18	3	0	8	6	0	5	141	0	0	21	15	30	416	56	0	103	3	46	2	0	2	7	10	0	359	2	2	0	0	10	0	4	39	32	18	0	0	2	3	36	0	0	0	13	0	20	0	0	0	0
91fd1191505a1aeeedab14adfd1c778e	55	45	0	0	0	0	1	0	0	0	337	0	0	27	5	0	11	0	0	0	0	54	5	227	0	34	0	0	130	130	0	0	0	122	0	0	0	0	45	0	2	0	0	8	0	0	41	29	0	68	0	0	0	0
4075a90811bf9c19f02f5aa2ece6da37	0	0	0	0	0	0	0	0	0	0	433	2	0	42	0	251	0	64	0	0	0	0	64	0	28	0	56	2	0	80	0	0	0	1	0	0	0	0	0	0	0	0	170	0	2	0	0	0	2	0	0	0	138	0
76d2032108822bcfaa90a4873f7a51aa	4	9	199	8	2	0	2	4	2	0	7	19	4	0	136	264	21	30	0	156	1	2	5	20	47	5	0	71	68	3	0	0	0	13	11	6	10	20	23	15	17	2	0	5	0	0	2	8	27	24	10	6	8	0
3d494b102f5218318d1de619eb7491b8	0	0	0	0	2	0	0	0	0	0	0	0	57	0	0	56	322	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	64	0	0	18	0	0	0	0	0	0	341	0	0	0	0	0	0	344	0	0
231e9e39b60db070a60fbe9a7228f8e0	0	0	0	0	0	0	0	4	0	0	343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	516	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0
87d8519d8ae60edb306ba84988bb34c3	30	0	0	0	0	0	0	0	302	0	0	0	25	0	0	28	101	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	139	0	0	21	0	0	0	0	0	0	168	27	88	0	0	30	0	187	0	0
955d8fcbb35e8bc04c8df0c6aae34d34	113	0	0	0	0	0	0	0	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	7	0	2	0	0	0	0	76	405	0	0	294	0	0	0	0
58518d17dd0a3d16d67d4725baa5f565	0	167	0	0	0	0	0	0	0	0	222	0	0	50	6	0	0	0	25	0	0	30	0	0	2	189	1	0	25	0	12	1	0	0	0	0	166	0	16	0	12	0	0	0	0	55	84	12	0	92	0	0	0	0
7f4909ae8d31a3995fa2c200c690a21f	0	0	0	0	0	3	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	977	0	0	0	0	0	0	0	0	0
d7a1d73008080062a024f483d8557502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	288	0	0	0	0	0	0	0	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
271ef157f6d986b61087c876992bd677	44	5	2	0	2	0	0	0	18	0	53	0	0	19	27	0	0	0	13	14	2	270	0	0	19	14	9	0	46	2	36	0	0	3	0	0	19	0	28	0	0	0	0	13	0	22	22	24	57	59	0	0	0	0
1b963d0d7457ac133aed9497f03b5a64	60	0	0	0	0	0	0	0	450	0	0	0	0	0	0	6	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	38	138	0	0	76	0	0	0	0
84ced895b032388119820d8d11eea087	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	11	0	0	0	0	0	0	5	4	0	168	0	1	0	0	0	0	0	269	0	21	0	0	0	0	0	0	38	184	11	0	0	0	0	0	0
13692c41b4bf5d577c28c278caafcddb	0	0	0	0	0	93	5	0	0	481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0
