taxon	lfc_(Intercept)	lfc_FusariumYes	se_(Intercept)	se_FusariumYes	W_(Intercept)	W_FusariumYes	p_(Intercept)	p_FusariumYes	q_(Intercept)	q_FusariumYes	diff_(Intercept)	diff_FusariumYes	passed_ss_(Intercept)	passed_ss_FusariumYes	diff_robust_(Intercept)	diff_robust_FusariumYes
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;__	0.9994345728840094	-1.6399995359566195	0.5058888908821496	0.8380281192675371	1.9756009489380835	-1.956974352352318	0.11940124606625889	0.12197715202309521	0.8358087224638122	0.8538400641616665	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;__;__;__	2.0841368355104826	-3.6236880511566123	0.7604622441477156	0.99050383050212	2.7406184219523864	-3.6584291141202776	0.04076207911907309	0.014618877338790711	0.32609663295258473	0.1315698960491164	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;__	0.3918444604224776	-0.6179875902185462	0.4694291658922063	0.839000437050287	0.8347254258855654	-0.736576005122517	0.4358408729541877	0.48916728807241394	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;__	0.12536509436730506	-0.1916206045302684	0.5534055629297929	0.9267281769072464	0.22653385286480998	-0.20677109998938467	0.8283066799876461	0.8430271092278866	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;__	1.6782445855244432	-2.410002642779026	0.280827302898155	1.0157510088342139	5.97607343803418	-2.3726313061160593	0.0039397966387469405	0.07660110433945774	0.035458169748722464	0.6128088347156619	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;__;__	0.1410229704597158	-0.1959202424885091	0.4955258354813915	1.0949047676234516	0.28459256886720213	-0.17893815816855405	0.7873667396446506	0.8650110884082026	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;__;__	-0.1478186979165075	0.44583380859637856	0.6274356972180599	0.880235862765137	-0.23559178824524926	0.5064935745697232	0.8289163800575825	0.6473887830799884	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;__	-0.2690891481688285	0.17216350216607665	0.4806566114610022	0.8187521227812353	-0.5598365688779481	0.21027548799660029	0.6146725825897319	0.8469243370113857	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;__;__	-0.688490847890347	0.8918885952049134	0.5818233777886963	1.1441778515475078	-1.1833330769675425	0.7795017129536534	0.30220008155864303	0.47922883445446923	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
