taxon	lfc_(Intercept)	lfc_logDose	se_(Intercept)	se_logDose	W_(Intercept)	W_logDose	p_(Intercept)	p_logDose	q_(Intercept)	q_logDose	diff_(Intercept)	diff_logDose	passed_ss_(Intercept)	passed_ss_logDose	diff_robust_(Intercept)	diff_robust_logDose
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Duganella;__	0.5608502327622611	-0.07797076513279885	1.0336814887399628	0.247968578243199	0.5425754827494554	-0.3144380860075256	0.6069716674946997	0.7638350052800983	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;__;__	-0.0135442229003086	NA	0.9921012432364213	NA	-0.013652057179290281	NA	0.9899647174902417	1	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;__;__	0.2012797441563149	-0.041473743256193275	0.9926014899179953	0.24799766111389876	0.20278001413532412	-0.1672344128969244	0.8420319016689287	0.8694192997748391	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;__;__	0.03899667163663948	-0.054198348524169965	0.883649910286472	0.22247228906081037	0.04413135924384023	-0.24361842435736092	0.9665079262615348	0.8172062500369108	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas;__	-1.3216644870883452	0.3687836268480844	1.1094443437144044	0.3025387273109782	-1.1912850739888678	1.2189633708249634	0.2533470696466233	0.24299933207253158	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;__	-0.03878950897443623	-0.06605734979427276	0.9427839666289557	0.22967950556662095	-0.04114358150694169	-0.28760663530387187	0.9687738136196664	0.7851872228116562	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;__;__	0.1803643614105286	NA	0.9204767145878204	NA	0.1959466856163698	NA	0.8627558827492894	1	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;__;__	-0.8640106078749803	0.25062199842980676	1.4682461477938993	0.3595201992123236	-0.5884644132546795	0.6971013005080021	0.5649770048587837	0.49640227575051143	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;__	1.0257394038651064	-0.25586076459654106	1.0463438625643557	0.29685001283562246	0.9803081382359787	-0.8619193314241871	0.34800303234760965	0.4071293887408809	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;__;__	1.7615322718727373	-0.6579942585072122	0.8813780508655523	0.21339699226344488	1.9986114586616204	-3.083427988033209	0.11630077968693131	0.036808666581814045	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia-Caballeronia-Paraburkholderia;__	-0.8511478562187637	0.14061001715530935	1.2851527050729166	0.30531155619310457	-0.66229316785391	0.4605460039199296	0.5439944275682058	0.669049360610112	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;__	-0.7304217063861549	0.08501820083851656	0.9491577223159708	0.22938498782331532	-0.769547240898916	0.370635417972523	0.5220298394546548	0.7464830500481772	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Luteibacter;__	-0.6813500513876408	NA	0.8729431945588071	NA	-0.7805204916363441	NA	0.5780803601442547	1	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__Novosphingobium_rosa	-1.4551087826203102	0.3376727585779953	0.9825797777979345	0.2460138255725091	-1.480906502962399	1.3725763492851788	0.2767959406077721	0.30353577860833036	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia;__	0.8901191642809877	-0.4050398879808111	0.8651155747528203	0.21138997080605154	1.0289020221781482	-1.9160790194366963	1	1	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chitinibacteraceae;g__Silvimonas;__	0.016898067090665388	-0.08290062705371203	0.9079027898982088	0.21914383944916976	0.018612198661224454	-0.3782932126318831	0.9868403277379876	0.7415915280324419	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;__	1.182866403032143	-0.3818282645626057	0.8564814462511788	0.21116837685897136	1.381076505754505	-1.808169718601424	0.3989697422134682	0.3216065236205014	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Janthinobacterium;__	-1.391996256463529	0.36077215980639277	0.9231869705762663	0.221091329362046	-1.5078161854847512	1.631778870964287	0.27061629528517595	0.2443121107925622	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Hafniaceae;g__Hafnia-Obesumbacterium;__	-3.7346441595672326	0.9084024463265209	0.8651155747528203	0.21138997080605154	-4.316930903289182	4.2972826140364635	1	1	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;__	-0.019699401257131304	0.03780531697226323	0.8408495235891109	0.20634361447690805	-0.02342797457153297	0.1832153472163493	0.9834361929992437	0.8715208913556324	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
