taxon	lfc_(Intercept)	lfc_AntibioticAllAB	lfc_AntibioticAmpicillin	lfc_AntibioticGentamycin	lfc_AntibioticPSN	lfc_AntibioticSulfamethazine	lfc_AntibioticTrimethoprim	se_(Intercept)	se_AntibioticAllAB	se_AntibioticAmpicillin	se_AntibioticGentamycin	se_AntibioticPSN	se_AntibioticSulfamethazine	se_AntibioticTrimethoprim	W_(Intercept)	W_AntibioticAllAB	W_AntibioticAmpicillin	W_AntibioticGentamycin	W_AntibioticPSN	W_AntibioticSulfamethazine	W_AntibioticTrimethoprim	p_(Intercept)	p_AntibioticAllAB	p_AntibioticAmpicillin	p_AntibioticGentamycin	p_AntibioticPSN	p_AntibioticSulfamethazine	p_AntibioticTrimethoprim	q_(Intercept)	q_AntibioticAllAB	q_AntibioticAmpicillin	q_AntibioticGentamycin	q_AntibioticPSN	q_AntibioticSulfamethazine	q_AntibioticTrimethoprim	diff_(Intercept)	diff_AntibioticAllAB	diff_AntibioticAmpicillin	diff_AntibioticGentamycin	diff_AntibioticPSN	diff_AntibioticSulfamethazine	diff_AntibioticTrimethoprim	passed_ss_(Intercept)	passed_ss_AntibioticAllAB	passed_ss_AntibioticAmpicillin	passed_ss_AntibioticGentamycin	passed_ss_AntibioticPSN	passed_ss_AntibioticSulfamethazine	passed_ss_AntibioticTrimethoprim	diff_robust_(Intercept)	diff_robust_AntibioticAllAB	diff_robust_AntibioticAmpicillin	diff_robust_AntibioticGentamycin	diff_robust_AntibioticPSN	diff_robust_AntibioticSulfamethazine	diff_robust_AntibioticTrimethoprim
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;__	-0.5912496239325614	-0.4987257914817451	-1.6777321356126875	2.3013609517405387	0.06943593648503747	-0.9669817939343783	2.6283455564268237	0.6564568325135127	1.0334797892576855	1.1217354683939442	0.8626994789591778	0.8342562316915121	0.9251827284772182	0.7888858578844368	-0.9006679413613856	-0.48256946741064327	-1.4956575617732735	2.667627612940099	0.08323094733646919	-1.0451792539685196	3.331718435763679	0.37751911115100045	0.6341683711563726	0.14895101966141475	0.014061996997539242	0.9344205878536608	0.3072888671188271	0.003025410849754791	1	1	0.6286197887328142	0.08437198198523546	1	1	0.018152465098528747	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;__;__;__	0.9634569480787574	-0.03130388865649023	1.2400804730434112	-2.34665674998702	1.1365870666789843	1.0184307148088068	-2.5317175753983423	0.6362428964262152	1.1394119488734584	0.7804382940135016	0.8908902027779003	0.7145457826208472	0.7009898443829535	1.0131353456671828	1.5142910883414302	-0.027473723342501827	1.5889539026412225	-2.6340583190497195	1.5906427472150948	1.4528466039408612	-2.4988937423075726	0.14357439669669225	0.9783188922725888	0.12572395774656284	0.014831921638690255	0.12534249357393362	0.15977428826313084	0.02004296435227778	0.8614463801801535	1	0.6286197887328142	0.08437198198523546	0.7520549614436017	0.958645729578785	0.1002148217613889	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;__	0.053093631875640965	1.037109739625135	0.1073778922820008	0.273764146259704	-0.07295143878170614	0.1041359454756294	0.09222861186529237	0.5847688014872139	0.907030710010071	0.6814121089305021	0.7893415783017315	0.7089278844233622	0.6594924714779802	0.7317867269463624	0.09079422797627118	1.1434119354278751	0.15758142667956665	0.34682595442230174	-0.10290389246156458	0.15790316035337243	0.12603209168626042	0.9284421995024115	0.26462966287498996	0.8761618995228808	0.7318752910666508	0.9189312162286183	0.8759112410434334	0.9008017631444716	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;__	0.5484816984429582	0.09192475846239576	-1.8767632248108443	-1.4794296691920055	0.754637724465792	0.043479248928501094	0.3816026612965895	0.8193103881062025	1.1238470494016648	1.078814720307849	1.1522504731989534	1.0586738276848768	1.0063978162821505	1.1090032292535223	0.669443115094327	0.08179472332230299	-1.7396529630920254	-1.2839479814529524	0.7128141876483758	0.0432028450629223	0.34409517594772815	0.5098779054691003	0.9355175990900952	0.095287278490843	0.21194433104630622	0.48313052140263646	0.9659127200122917	0.733900806121929	1	1	0.5717236709450579	0.8477773241852249	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;__	0.09692297037789294	1.8400997333472409	-0.13250312897759556	0.9188523269350541	0.3721254146600323	0.06962677005366193	-0.612247971346332	0.7663344442019111	1.015991180507609	0.9485448447708378	1.3355585159599592	0.9354803255683696	0.9437179594813916	1.07442596620638	0.1264760720481931	1.8111375065558062	-0.13969094841225715	0.6879910658759948	0.3977907439517129	0.07377921481109086	-0.5698372811186593	0.9005038901460509	0.08379693500083309	0.890175150721102	0.4986489155618331	0.6946180624241455	0.9418527882863486	0.5745615433122107	1	0.5027816100049985	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;__;__	0.3107379321563239	-0.1967677202904056	0.042869718870873395	-0.47948692110511676	-0.3568742271620262	0.3690477292898688	-0.0323991501474509	1.4040479531974654	1.6771725532681185	1.6035331812366014	1.7906033457050587	1.5574848905246381	1.6180113037897168	1.554403108139078	0.22131575452866437	-0.11732109490283892	0.02673453806413499	-0.2677795293163135	-0.22913495298295528	0.2280872379726166	-0.02084346716614519	0.8270905184806523	0.907775807238184	0.9789364289260727	0.7916112305386259	0.8210909010741835	0.82189416102142	0.9835770723161488	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
