function	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S5	S50	S51	S52	S6	S7	S8	S9
THIOPURINE-S-METHYLTRANSFERASE-RXN	1009.25	959.25	353.75	432.0	946.45	1153.5	260.75	482.25	837.75	845.35	733.0	1896.5	2437.75	845.8	3472.25	511.0	958.1	2311.25	2127.4300000000007	1266.35	846.29	2489.8	759.5	2274.95	1992.25	900.35	1589.1	2319.5	969.1	316.85	360.1	453.35	969.85	575.95	684.1500000000002	507.55	213.3	380.15	566.25	1277.25	597.45	3325.15	2060.25	872.33	1627.0	2332.75	487.35	886.75	804.15	1205.75	608.25
THIOREDOXIN-REDUCT-NADPH-RXN	28629.4	5670.58	2756.59	3019.0	3733.21	4302.78	3915.39	7770.62	4733.17	4741.28	2360.6800000000007	21997.22	6032.92	2750.75	7287.0	9214.19	7127.2	5533.969999999998	8546.68	4985.7	7056.27	19427.76	8701.18	6852.23	8364.08	12232.02	5479.42	6677.52	3223.12	4992.68	3438.18	4225.04	10716.85	4136.450000000002	7149.95	2720.44	2524.1	3412.96	4045.34	4077.09	4276.74	21970.99	15087.51	19661.86	18315.26	12210.55	4736.57	12049.92	18907.13	26919.48	3092.75
THIOSULFATE-DEHYDROGENASE-RXN	6244.33	436.33	654.0	582.5	600.87	1026.17	504.5100000000001	1560.66	500.0	1004.93	1514.0	3144.67	1494.67	1432.8	4089.5	1406.33	1023.6	1933.83	2153.0	1512.1	1959.5	5674.97	2290.17	471.53	2237.33	2507.43	1491.6	3053.67	1019.68	453.57	481.18	645.77	1618.2599999999998	1075.12	1227.8	996.47	528.05	558.23	1054.17	1435.27	858.2	6689.07	3987.34	3989.83	4637.67	5468.67	1298.4299999999996	3470.67	3286.9	6508.0	644.5
THIOSULFATE-SULFURTRANSFERASE-RXN	16397.17	13001.08	6059.17	7568.0	6711.4	8649.04	9665.89	7609.45	5903.17	5724.63	3652.17	18151.88	9093.17	5077.56	11397.5	4070.17	7643.3	8362.5	5882.0	8810.05	5822.51	16835.65	6139.52	9841.68	9302.83	6041.96	7096.69	7763.76	3868.38	4260.49	5512.67	6305.39	9203.37	5859.55	11138.0	4952.74	4173.65	5330.11	4730.84	6094.280000000002	7459.6	22289.03	13716.01	13381.06	10737.5	12621.01	3447.05	14810.42	27019.95	24578.660000000003	6244.5
THREDEHYD-RXN	29758.660000000003	10820.41	4663.09	5693.75	6743.280000000002	7811.2	7015.9000000000015	7006.279999999999	5538.17	5329.81	4969.18	33108.06	10548.09	4837.8499999999985	11917.75	4620.85	8300.9	9116.83	6803.459999999999	9924.65	5109.02	30846.45	5549.82	12970.96	10334.41	7569.469999999998	7924.959999999999	8645.94	4944.23	4611.48	5214.85	5623.16	17172.96	6576.09	10071.05	5340.71	3542.7	5015.84	4531.01	7180.790000000001	7657.22	29799.2	19628.85	28981.580000000005	20382.96	18770.78	5251.58	21290.01	31679.18	38991.98	5506.5
THREODEHYD-RXN	4126.75	3342.58	1696.75	2140.0	1191.92	1705.42	2997.4300000000007	1965.58	1040.5	953.08	43.67	2654.42	316.42	731.83	96.5	343.84	824.0	612.47	618.47	1023.0	1022.9199999999997	3079.67	972.86	495.08	737.0799999999998	1460.33	469.88	361.84	215.83	958.67	1493.15	1510.17	902.66	1291.29	2938.75	1264.17	1201.25	1271.33	1000.67	684.4599999999998	2271.0	5268.67	2258.84	4105.25	1320.0	2544.17	512.8299999999998	4824.92	7855.5	7277.33	1555.5
THREONINE--TRNA-LIGASE-RXN	14891.32	5477.83	2430.42	2852.25	3251.95	3704.54	3578.3	4269.87	3144.25	3171.28	2101.17	13962.88	5101.42	2558.76	3933.25	3521.84	5062.2	5094.969999999998	4471.15	3699.7	3926.55	13517.68	4252.940000000001	6595.73	5982.58	6053.61	4129.0	4082.09	2298.95	2381.34	2597.1	2930.37	7793.69	3206.86	5144.45	2437.02	1917.85	2449.63	2845.92	2973.6800000000007	3402.32	14036.98	8659.59	11563.48	10077.3	7806.3600000000015	2505.3	8934.67	13997.13	17204.410000000003	2785.25
THREONINE-ALDOLASE-RXN	11276.59	6018.5	2385.92	3036.0	3884.65	4537.25	3602.09	3868.26	3678.25	3568.95	2795.84	16001.0	6212.75	2484.76	7359.25	3191.1800000000007	3946.2	5904.1399999999985	3254.48	5411.2	3554.55	9277.18	3988.27	6945.15	6055.75	4959.45	4870.83	4621.59	2462.2	2235.3	2664.77	2479.2	4319.53	2575.77	5120.85	2138.85	1653.6	2232.3	2695.75	3725.49	3337.65	11015.05	6558.25	8480.0	6676.66	5139.25	2024.7	6919.17	11675.63	14276.74	3022.5
THRESYN-RXN	15615.07	4673.08	2440.17	2766.75	2698.5	3199.79	3501.55	4264.12	2570.75	2819.93	2084.67	15784.13	3940.67	2341.63	3941.75	3468.17	4474.1	3992.47	4353.65	3601.6	4013.63	13961.88	4111.3600000000015	4590.78	4889.33	5598.51	2957.9	4029.59	1869.35	2102.6900000000005	2372.0	2843.27	7733.09	3058.91	4708.9	2164.2200000000007	1822.05	2212.73	2400.42	2421.08	2506.87	12678.58	8738.09	12452.08	10458.47	7959.3600000000015	2508.7	9012.42	15068.73	15770.91	2653.75
THYKI-RXN	11889.98	3404.83	1741.42	2138.0	1264.55	1751.04	3103.79	3336.87	1575.83	1547.08	90.5	8449.8	429.92	790.5	258.75	2184.0	1761.0	669.47	1272.32	1107.0	2247.04	7140.83	2675.78	583.3299999999998	1702.58	4774.08	916.55	657.0	377.5	1844.17	1802.57	1896.0	1902.16	1591.29	3661.75	1289.5	1431.75	1545.0	1627.0	806.41	2459.17	7137.27	5013.67	7471.0	5029.47	4231.77	1491.4299999999996	6796.09	10659.16	13740.83	1634.75
