function	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S5	S50	S51	S52	S6	S7	S8	S9
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	24912.33	6523.08	3009.76	3444.0	4630.28	5436.41	3997.35	6198.5	4706.42	4620.38	3600.01	23293.09	8460.42	3594.89	11001.75	5780.68	7081.8	7273.719999999998	6272.490000000002	7004.55	6122.27	20667.890000000007	6986.27	9016.68	9237.08	9834.04	6817.85	7877.85	4011.3	3647.91	3543.78	3901.39	11425.03	4211.73	7071.25	3063.99	2409.65	3373.61	4109.59	5329.82	4503.77	21904.54	15047.26	20127.31	18166.300000000007	14460.2	4182.32	12815.59	19732.61	25632.23	3584.25
1.1.1.136-RXN	3668.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3373.0	234.0	0.0	0.0	0.0	0.0	0.0	7.43	0.0	1.29	4165.0	0.0	73.0	0.0	0.0	3.5	0.0	2.25	0.5	3.25	0.0	377.0	4.75	2.0	4.0	1.75	2.0	0.0	0.0	19.0	15.0	44.0	3484.4	114.0	163.0	37.0	1964.0	1780.0	4625.0	0.0
1.1.1.145-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.215-RXN	5919.17	4416.33	2077.0	2558.0	2407.5	2903.04	3151.05	2349.45	1895.5	1711.9299999999996	1390.67	5580.38	3329.67	1782.63	3607.75	1033.6699999999996	3152.1	2964.86	2798.97	3290.35	1718.42	7629.05	1419.8599999999994	4291.78	3165.83	2292.18	2135.23	3028.09	1558.1799999999996	1117.52	1877.57	2225.52	5804.51	2448.74	3946.9	1712.47	1514.55	1846.48	1622.17	2215.12	2030.2	9079.23	5137.84	4854.5	5236.17	5222.51	1298.35	5591.25	10438.65	7338.83	2146.0
1.1.1.251-RXN	380.0	3313.0	0.0	389.0	113.0	98.0	2968.0	58.0	0.0	266.0	0.0	632.0	261.0	11.0	65.0	43.0	535.0	588.0	332.0	944.0	426.0	87.0	482.0	390.0	257.0	1.0	195.0	15.0	5.0	478.0	1015.0	1294.0	62.0	288.0	46.0	231.0	10.0	194.0	13.0	75.0	1128.0	9.0	170.0	63.0	13.0	99.0	12.0	2144.0	5730.0	3055.0	26.0
1.1.1.253-RXN	3701.5	32.33	61.0	35.0	57.67	23.67	14.67	458.83	119.33	53.33	0.0	1991.5	22.67	0.0	26.0	175.5	0.0	5.83	33.0	40.5	304.33	2890.83	135.17000000000002	47.33	126.83	1047.5	150.5	194.5	138.08	34.5	49.25	71.5	721.33	119.75	484.0	82.5	153.75	120.0	231.0	146.5	211.5	2654.33	1422.67	2853.5	1403.84	2020.51	426.0	2368.0	1811.83	2978.5	106.5
1.1.1.261-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	21.0	0.0	38.0	5.0	14.0	0.0	0.0	0.0	0.0
1.1.1.264-RXN	7168.0	9.0	24.0	54.0	25.0	4.0	124.0	58.0	11.0	79.0	93.0	6071.0	30.0	91.0	504.0	6.0	140.0	31.0	138.0	46.0	106.0	7744.0	148.0	36.0	5.0	41.0	16.0	15.0	6.0	27.0	172.0	1.0	658.0	389.0	11.0	44.0	11.0	6.0	3.0	28.0	22.0	325.0	950.0	6040.0	800.0	780.0	217.0	3704.0	3656.0	9828.0	76.0
1.1.1.271-RXN	1701.67	57.0	194.0	314.0	401.0	982.0	152.0	406.0	303.0	160.0	17.0	191.33	1146.0	111.66	5771.0	330.84	172.0	106.0	895.64	1979.0	231.34	985.33	741.52	0.0	267.0	1763.0	829.0	2942.0	725.5	909.5	273.5	177.5	215.0	982.5	693.0	931.5	173.0	221.0	229.5	1550.5	896.5	1219.66	1481.0	146.0	3616.33	1287.84	482.17	110.33	113.0	1842.0	221.0
1.1.1.292-RXN	0.0	0.0	0.0	0.0	21.63	8.62	25.37	0.12	0.0	0.0	0.0	12.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	9.0	0.0	0.0	2.0	0.0	10.0	3.75	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	7.12	0.0	0.0	0.0	0.25	0.0	0.0	0.0	35.0	0.0	0.0	0.25
1.1.1.34-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.39-RXN	502.15	3501.75	1653.25	2120.0	1399.75	1825.25	3083.25	1506.25	934.5	924.25	624.5	828.75	1156.75	949.5	140.0	228.0	2297.0	950.78	1838.14	1937.5	870.75	2559.0	952.11	2105.25	1118.25	802.0	790.76	770.0	363.5	1458.95	1720.64	1775.0	2680.5	2262.99	2848.85	2246.5	1173.0	1264.0	842.0	988.98	2525.75	1456.1	878.5	455.5	98.8	337.1	235.1	2761.25	6155.0	4716.5	1620.0
1.1.1.43-RXN	921.5	951.0	336.0	427.0	936.33	1155.87	243.37	428.12	805.25	794.1	733.0	1863.63	2419.5	843.8	3452.25	480.5	922.6	2051.75	741.0	1265.85	713.25	1879.8	669.75	2261.95	1990.0	473.85	1309.6	2066.0	909.1	205.9	304.35	314.85	937.85	493.7	655.3	440.55	180.3	360.65	545.75	1232.97	482.7	3287.15	2022.75	690.25	1623.5	2298.75	479.85	785.0	799.15	1177.25	513.0
1.1.1.51-RXN	309.5	742.75	36.0	79.0	598.0	410.0	11.84	58.33	616.67	356.0	16.0	1357.0	1157.0	0.0	10.25	140.5	259.0	1051.0	272.25	45.0	113.17	64.67	233.75000000000003	1959.0	769.0	151.57999999999996	455.0	19.17	222.0	21.67	73.33	15.67	524.83	51.17	71.0	46.67	13.5	12.33	193.17	107.17	26.5	2408.0	287.67	0.0	52.0	387.0	30.0	261.5	52.67	41.5	200.0
1.1.1.53-RXN	90.0	4.0	7.34	0.0	0.0	0.0	0.0	1.34	0.0	4.0	0.0	38.0	0.0	0.0	0.0	24.0	0.0	0.0	26.0	0.0	1.34	16.66	0.0	0.0	0.0	64.0	0.0	4.0	0.0	0.0	0.0	0.0	36.66	6.0	0.0	0.0	4.0	4.0	0.0	0.0	3.0	2.0	36.0	448.0	8.0	6.0	0.0	23.34	72.66	53.66	4.0
1.1.1.83-RXN	7116.51	7710.0	3710.34	4556.0	3584.53	4517.87	5873.22	3558.3	2695.42	2616.7	2018.01	8096.13	3606.5	2714.92	3705.25	1453.35	4099.2	3419.75	2118.49	5025.45	2089.94	8651.93	1605.32	4653.15	3852.0	1844.28	2571.08	2847.6800000000007	1823.95	1971.72	3078.78	3675.62	5753.94	2553.19	6349.1	1433.02	2488.6	3014.38	2316.92	3032.24	2626.15	8443.05	5263.42	5662.25	4673.82	4195.25	1310.45	6936.34	16407.88	10720.4	3620.0
1.1.99.25-RXN	6033.0	3892.5	2102.5	2480.25	1956.83	2648.37	3279.05	2273.78	1248.59	1358.6	1357.5	5404.13	2770.5	1999.3	3531.75	938.0	4278.1	2038.25	2644.5	3341.35	1725.09	10750.14	1654.2500000000002	3878.45	2923.0	1925.01	1827.86	2947.34	1362.1	1399.9399999999996	2011.01	2419.69	7320.01	2351.28	3699.4	1300.89	1495.3	1698.8100000000004	1388.59	1975.21	2748.7	6930.15	3691.09	4934.75	3779.0	3582.25	913.35	5397.0	10440.99	11157.25	2021.0
1.1.99.28-RXN	161.0	2.0	42.0	0.0	0.0	0.0	4.0	2.5	0.0	1.0	0.0	32.0	1.0	0.0	0.0	17.5	0.0	0.0	4.5	0.0	2.0	29.5	15.0	0.0	40.0	13.0	0.0	8.0	2.0	1.5	0.0	2.5	32.0	4.0	0.0	0.0	0.0	0.0	1.5	0.0	2.0	307.0	379.5	365.5	1691.0	358.5	92.0	33.0	172.0	19.0	31.0
1.10.2.2-RXN	10311.92	1023.83	472.42	471.0	1069.75	1182.79	305.8	1048.37	990.0	910.68	769.17	11123.63	2473.42	846.13	3508.5	1068.67	1035.1	2094.08	1180.94	1399.85	1253.4200000000005	9533.88	1080.2499999999998	2317.53	2154.58	1744.4299999999996	1764.85	2384.09	1278.9299999999996	792.3199999999998	561.9300000000002	718.02	4064.34	1187.87	1199.05	1194.97	398.55	816.48	876.67	1528.14	919.2	7868.73	4970.84	10460.83	6072.17	5582.51	1215.35	6037.67	7232.98	9448.16	717.0
1.11.1.15-RXN	32795.26	17973.16	8390.51	10181.0	9683.4	11922.58	13127.44	13477.75	9473.5	9180.06	5207.68	26546.58	13817.34	7372.1799999999985	15107.5	10857.86	16336.4	12000.08	13034.24	12374.4	11738.61	28417.51	12663.759999999998	17472.96	16221.66	18339.890000000007	10329.09	12022.52	6069.73	7468.41	8543.77	9398.74	20874.71	9885.29	17200.6	7215.04	6460.7	7987.26	8236.84	8886.45	11005.97	39147.0	24933.68	22653.05	24702.14	21310.48	7069.18	20799.83	39135.59	38256.31	8961.5
1.12.1.3-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.199999999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.13.11.14-RXN	38.0	739.0	3.34	75.0	573.0	410.0	0.5	3.34	580.0	354.0	0.5	1385.0	1151.0	0.33	4.5	14.17	259.0	1053.0	63.5	45.0	15.01	14.66	2.33	1959.0	744.5	64.0	452.0	0.0	210.0	0.0	19.0	0.0	540.66	32.0	71.0	0.0	0.0	2.0	172.0	98.0	0.0	1028.0	212.0	77.0	17.33	41.0	0.0	153.34	91.66	37.66	198.0
1.13.11.15-RXN	1324.0	3522.0	1945.0	2400.0	1469.2	2417.75	3128.5	1924.5	1115.25	1355.6	773.0	1169.25	1334.0	1571.63	3541.75	614.17	1411.1	1623.89	1230.5	2156.85	1282.42	2018.8	1180.83	633.2	1805.0	736.85	1171.48	2179.5	758.35	1092.15	1477.17	1743.35	588.35	636.8199999999998	3036.8	928.05	1220.3	1476.15	1127.25	1526.14	2425.45	3509.65	2520.75	761.5	1682.33	2416.25	550.35	2648.0	6513.15	4265.25	1811.25
1.13.11.16-RXN	440.5	4052.0	1634.0	2127.0	1700.5	2090.5	2877.5	1491.5	1496.25	1229.5	24.0	2158.25	1427.5	725.83	72.5	74.67	982.5	1646.0	473.5	981.0	592.17	207.75	635.08	2362.5	1338.0	445.5	774.13	154.75	283.0	536.25	1204.5	1434.5	656.5	1075.12	2539.0	847.75	1045.0	1145.5	924.25	633.5	1779.5	3664.75	1000.75	201.08	128.82999999999998	530.25	105.0	2361.75	5765.0	3118.75	1624.5
1.13.11.25-RXN	82.0	739.0	34.0	79.0	598.0	410.0	11.84	38.33	616.67	356.0	16.0	1354.0	1157.0	0.0	5.0	111.0	259.0	1051.0	233.0	45.0	87.67	62.67	146.0	1959.0	769.0	145.32999999999996	455.0	17.17	222.0	21.67	73.33	15.67	524.83	51.17	71.0	46.67	13.5	12.33	193.17	107.17	23.5	2406.0	287.67	56.0	52.0	387.0	30.0	257.5	52.67	23.0	200.0
1.13.11.41-RXN	839.5	183.0	249.0	193.25	153.7	253.25	198.84	406.33	95.92	422.1	640.0	502.25	455.0	709.8	113.25	498.5	606.6	962.75	631.0	242.85	725.92	1404.47	646.75	229.7	1019.0	320.18	479.6	687.67	347.1	122.57	213.93	284.5200000000001	399.68	355.87	329.3	438.22	149.8	268.98	387.92	411.02	223.2	602.15	330.42	160.0	994.5	435.75	158.85	391.5	584.8199999999998	1147.25	239.75
1.13.11.49-RXN	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	7.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	79.0	200.15	74.0	26.0	9.0	11.0	6.0	0.0	0.0
1.13.11.6-RXN	4316.83	34.33	77.0	37.0	82.67	30.67	47.67	616.83	140.32999999999998	102.33	16.0	2538.17	42.67	2.0	43.0	282.5	33.0	35.83	418.0	40.5	340.33	3230.0	410.17	47.33	126.83	2519.5	215.5	337.0	220.08	342.5	249.25	116.0	778.33	172.75	637.0	118.5	239.75	177.0	496.0	211.5	316.5	3055.17	1572.67	3270.0	1183.67	2297.67	433.33	2617.67	1942.83	3334.5	179.5
1.13.11.9-RXN	263.34000000000003	26.0	97.0	207.0	213.0	484.0	77.68	93.67	147.92	60.0	110.84	231.25	582.0	136.33	3377.5	175.51	112.0	66.0	363.16	1016.0	171.34	534.42	117.33	30.0	0.5	151.82999999999996	379.25	1410.76	379.25	124.67	283.33	53.67	77.83	487.17	265.5	58.42	52.5	99.33	33.92	701.17	332.75	223.25	99.42	83.25	38.33	108.75	26.5	232.25	369.67	1259.41	147.0
1.14.11.1-RXN	808.5	1661.0	249.0	345.0	1299.7	1073.25	187.0	401.0	1255.25	1128.1	733.0	3200.25	2779.5	792.8	594.25	477.5	1124.6	3064.75	719.0	332.85	704.25	1402.8	638.75	4147.7	2507.0	414.85	1380.6	680.0	755.1	114.9	233.6	275.85	1386.85	438.7	471.3	391.55	139.3	267.65	710.75	606.85	196.7	2656.15	748.75	160.0	1028.5	484.75	158.85	654.0	589.15	1138.25	633.75
1.14.11.18-RXN	355.67	49.0	61.0	4.0	46.63	12.62	59.540000000000006	144.79000000000005	27.0	73.0	17.17	58.38	20.0	2.33	27.5	311.84	44.0	28.0	310.26	0.0	99.96	30.0	87.33	0.25	11.5	148.0	56.0	79.67	68.0	497.0	83.75	134.0	3.0	81.0	45.0	85.0	52.0	0.0	51.0	74.12	52.0	89.0	24.0	0.25	0.33	65.0	0.0	59.0	3.0	249.33	79.25
1.14.11.2-RXN	3765.84	45.5	63.84	4.0	44.0	0.0	14.18	131.01	58.92	13.0	18.34	12138.25	8.0	0.66	33.5	387.51	77.0	2.0	235.16	93.0	159.35	1204.0800000000004	239.66000000000003	0.0	26.0	221.33	41.25	85.76	193.25	514.67	166.32999999999996	319.67	3351.49	121.17	36.5	54.42	52.5	196.33	75.92	32.17	82.75	1894.25	1363.42	4889.25	3281.66	907.75	264.5	1376.59	5581.33	869.57	4.0
1.14.12.1-RXN	1996.01	1906.0	738.68	858.5	2212.4	2459.5	466.69	947.35	1701.84	1592.2	3276.01	3781.5	4336.0	1690.9	6955.5	1177.71	1845.2	4107.5	1724.99	5183.7	1740.22	3912.26	1701.8	4377.4	3583.0	1214.36	3486.2	4695.35	2155.2	525.54	1101.86	705.0400000000002	2194.68	1091.74	2162.8	1208.4399999999996	427.6	861.9599999999998	1175.84	3294.84	1100.4	6611.3	1345.84	474.0	2170.3	1798.5	793.7	1277.68	1418.9599999999996	2470.81	1116.5
1.14.12.15-RXN	26.0	0.0	58.0	8.0	50.0	0.0	24.18	48.66	73.34	0.0	0.5	0.0	0.0	0.33	4.5	32.17	0.0	0.0	12.5	0.0	145.01	121.34	258.33000000000004	0.0	50.5	90.66	6.0	30.34	24.0	43.34	88.66	31.34	41.66	32.34	0.0	93.34	23.0	16.66	42.34	18.34	47.0	2756.0	151.34	0.0	70.33	692.0	60.0	227.0	67.34	1.0	0.0
1.14.12.18-RXN	20.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	1.0	0.0	0.0	0.66	9.0	28.34	0.0	0.0	25.0	0.0	27.34	0.0	4.66	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66	0.0	0.0	0.0	0.0	2.0	0.0
1.14.13.59-RXN	1165.0	254.0	74.0	82.0	209.0	199.0	354.0	580.0	273.0	432.0	39.0	283.0	761.0	252.0	142.0	1132.0	1695.0	417.14	1743.0	200.0	454.58	2450.0	979.86	1698.0	1160.0	944.0	463.0	414.0	232.0	813.2	455.57	244.0	2470.0	1104.5	611.6	642.0	206.0	254.0	260.0	219.69	1176.0	1900.0	1959.0	826.0	632.0	2190.0	455.0	1031.0	622.0	3520.0	200.0
1.14.13.70-RXN	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	8.0	2.0
1.14.13.84-RXN	146.5	1.25	5.01	0.0	0.0	0.0	0.5	7.01	0.0	2.0	0.5	54.0	0.0	0.33	5.25	26.67	0.0	0.0	25.25	0.0	17.18	21.99	26.58	0.0	0.5	32.75	0.0	0.0	0.0	0.0	0.0	0.0	54.99	3.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	73.0	0.33	0.0	0.0	17.009999999999998	108.99	67.49	2.0
1.14.19.1-RXN	10562.59	857.1600000000002	778.75	493.5	829.3499999999998	757.33	595.01	2106.82	584.5799999999998	1081.91	1298.34	5823.76	2153.59	1427.66	322.25	2119.6800000000007	3494.5	2511.66	4744.84	711.0	2572.71	13390.08	2434.5	3616.41	2930.91	4494.58	1609.75	3124.26	1114.41	1158.8200000000004	584.83	1236.67	7178.99	2416.92	1724.95	1390.92	919.0	608.33	1416.92	744.7099999999998	1044.5	8220.41	4926.76	6258.75	8285.84	6482.27	1870.5	6143.0	5081.83	11042.91	953.5
1.14.19.3-RXN	5696.83	357.3300000000001	149.0	186.0	298.2999999999999	344.29	325.04	1854.95	430.33	479.33	39.0	2565.55	805.67	244.0	197.0	1520.5	1680.0	441.83	2358.0	301.5	784.3299999999998	5345.0	1610.17	1782.58	1183.83	4275.5	1030.5	1132.0	454.08	1339.7	982.0	647.0	3200.33	1772.25	1279.6	714.5	479.75	467.0	822.0	587.02	2192.5	3932.17	2542.67	3246.25	2892.67	3150.67	647.3299999999998	3423.67	2509.83	9557.5	332.75
1.17.1.1-RXN	5680.01	1000.0	465.5	444.75	1166.33	1218.87	335.88999999999993	697.12	918.84	913.1	1352.84	5571.21	2479.0	848.79	3587.75	897.1800000000002	1074.6	2111.75	1222.59	2242.85	1046.89	5867.72	1060.24	2261.95	2042.5	714.01	1891.85	2200.9300000000007	1239.35	757.24	639.01	660.69	2803.51	660.0400000000002	986.8	642.64	265.3	603.31	661.84	1573.31	651.95	6471.56	3065.84	5150.66	4038.66	3377.34	798.02	2977.08	4118.49	5770.16	691.0
1.17.4.2-RXN	513.65	3319.25	1617.75	2104.75	1158.08	1697.37	3027.12	1639.87	891.5	958.35	23.5	832.63	364.75	946.3	98.0	69.33	1226.6	693.64	708.5699999999998	983.1	678.54	241.8	709.36	483.2	894.75	621.76	423.32	209.5	243.69	1018.74	1503.92	1512.6	205.1	1269.91	2661.55	1144.8	1116.8	1434.4	899.0	922.51	2153.54	1759.5	827.5	221.75	41.8	272.1	88.7	2389.75	6023.4	4295.5	1522.25
1.17.99.1-RXN	305.67	0.0	33.67	4.0	25.0	0.0	1.17	27.84	31.0	6.0	17.17	51.0	7.0	0.33	7.5	113.84	0.0	0.0	220.69	0.0	67.92	94.83	131.32999999999998	0.0	25.5	124.0	4.0	5.67	21.0	11.0	16.0	7.0	50.33	10.0	6.0	0.0	9.0	11.0	0.0	9.0	6.0	1382.0	71.5	185.5	35.33	313.0	30.0	131.67000000000002	208.33	75.66	6.0
1.18.1.2-RXN	11604.76	5633.08	2489.42	3022.0	3665.95	4295.54	3578.8	2953.87	2788.25	2632.28	2744.67	13350.54	6449.92	2848.09	7200.5	1856.51	5605.2	5658.969999999998	6615.97	5539.7	2759.4300000000007	16684.34	2521.5199999999995	8147.73	5724.08	3259.03	4524.33	5988.59	2821.28	1857.87	2551.1	2941.37	10143.69	3745.69	5066.05	2614.02	1878.85	2363.63	2300.92	3911.08	3591.65	12919.7	8282.59	11401.41	8331.17	8361.44	2112.04	8947.33	14215.13	15136.91	2978.25
1.2.1.2-RXN	27973.77	20046.74	8790.59	11172.0	8515.79	10644.38	15161.17	9210.7	7423.67	6991.44	1482.68	26549.29	7570.26	5068.75	725.0	2494.52	6376.2	9258.83	4769.66	5659.2	5495.190000000001	23895.09	5307.6799999999985	10650.89	9025.74	4366.52	4740.36	2701.86	2626.69	5872.98	7519.94	8638.880000000001	9959.169999999998	6304.92	13948.85	7564.280000000002	5905.85	7008.62	5692.18	4377.240000000002	11114.9	31620.61	17991.690000000002	24582.91	14583.51	18178.21	3730.04	26720.250000000004	45685.63000000001	42617.98	8820.75
1.2.1.27-RXN	14051.34	6810.83	2779.67	3491.75	5142.42	5936.27	3689.7	3647.77	3848.0	3385.13	3479.34	16700.9	10318.67	3686.55	13610.0	3495.18	9175.3	6441.33	3669.23	8719.8	3387.81	20279.73	2931.93	13422.18	8163.33	4249.13	6338.68	8358.51	4376.13	2476.82	3237.63	3234.4700000000007	17185.290000000005	5346.6399999999985	6282.0	2737.57	2185.65	3160.53	2795.17	6133.47	4478.85	15698.03	9408.34	13255.88	10025.99	9082.01	2473.3	10164.17	16800.53	18184.99	3622.75
1.2.1.32-RXN	176.17000000000004	742.0	19.17	77.0	598.0	412.0	45.34	66.0	591.67	405.0	16.5	1410.33	1171.0	2.33	25.5	157.0	369.0	1079.0	271.5	45.0	101.01	31.83	61.83	1959.0	744.5	119.33	455.0	17.67	225.0	17.67	47.33	9.17	545.1600000000002	87.17	73.0	47.67	17.5	113.33	193.17	98.17	24.5	1058.16	276.67	161.50000000000003	251.50000000000003	100.84	7.17	191.5	104.0	47.83	273.0
1.2.1.45-RXN	1134.5	3.25	32.67	4.0	44.0	0.0	11.84	28.5	37.92	2.0	0.0	1033.25	1.0	0.0	0.75	21.5	0.0	2.0	14.75	93.0	67.84	356.25	152.25	0.0	25.0	86.58	11.25	30.42	155.25	30.67	84.33	187.67	1548.16	20.17	17.5	47.42	19.5	89.33	29.92	21.17	51.75	1651.25	863.92	1625.75	2079.0	637.75	136.5	554.9200000000002	1887.0	397.58	2.0
1.2.1.66-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.2.1.9-RXN	1977.4	1132.0	577.0	620.0	1066.2	1403.5	405.0	938.0	910.5	1194.6	1373.0	2485.5	2866.0	1340.8	3574.5	1000.0	1227.6	2953.5	1544.0	1508.1	1410.5	3184.8	1570.5	2456.2	2697.0	966.1	1789.6	3071.0	1084.6	577.5999999999998	457.6	569.1	1274.1	869.2	940.4	824.3	342.8	447.9	892.5	1334.5	678.2	3575.5	2395.5	971.93	2644.8	2850.1	632.7	1120.0	1345.9	2293.5	747.5
1.2.3.3-RXN	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.33	0.67	2.0	0.67	0.67	1.0	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	18.0	267.0	16.0	3.0	0.0	5.0	0.0	0.0	0.0
1.2.4.4-RXN	17832.83	1962.83	800.51	895.0	2063.07	2359.17	648.5099999999999	2684.67	2304.5	2365.53	1539.0	18299.17	4571.67	1747.6	7162.0	3008.16	3050.2	4286.83	2259.5	2649.7	3077.51	15578.26	3101.17	4512.73	4919.33	6175.53	3193.7	4702.17	2164.78	923.97	1127.78	1024.37	4543.8499999999985	1317.8200000000004	2714.6	1031.77	760.85	1188.63	2067.67	2702.87	1488.9	12583.97	8582.84	15213.3	7307.67	8656.17	2450.03	8412.18	9373.29	15045.99	1529.5
1.2.7.5-RXN	23.67	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8300000000000001	0.0	0.0	0.0	0.0	0.0	0.5	3.0	0.0	0.0	0.5	0.0	24.0	0.0	1.0	0.0	106.0	0.0	0.0	1.0	24.16	59.0	6.5	228.17	17.84	7.17	0.33	12.0	1.0	0.0
1.2.7.8-RXN	5767.34	167.82999999999996	278.0	51.0	355.92999999999995	107.91	204.26	802.91	229.25	296.33	669.01	3501.6800000000007	335.67	9.32	186.5	908.35	318.0	119.33	1065.35	1005.0	805.2599999999999	3106.42	607.4900000000001	120.83	141.32999999999996	1450.33	834.75	699.43	567.8299999999998	1151.17	451.08	527.6700000000002	2432.16	357.92	737.5	596.42	321.25	348.33	322.92	730.41	419.75	5117.92	3670.09	4868.54	4454.99	3800.92	1037.83	3095.92	3853.0	3754.74	395.5
1.20.1.1-RXN	369.0	3251.0	14.0	372.0	128.0	2.0	2811.84	43.33	11.67	262.0	0.0	586.0	236.0	2.0	73.0	49.0	431.0	588.0	326.0	899.0	428.67	91.67	197.0	365.0	196.0	17.33	97.0	15.17	12.0	271.67	920.33	1289.67	60.83	16.17	2.0	69.67	15.5	151.33	21.17	0.17	343.5	6.0	107.67	7.0	11.0	97.0	7.0	1686.5	5766.67	1224.0	73.0
1.3.1.25-RXN	1334.67	4369.0	1927.67	2314.0	2010.2	2333.75	3010.17	1877.84	1608.25	1674.6	757.67	2623.25	2739.0	1727.63	677.75	728.84	2962.1	2941.75	2569.83	1248.85	1332.09	3966.13	1035.83	4208.2	2784.0	1136.85	1349.48	1415.17	814.35	598.35	1308.6	1937.35	3477.68	1232.8200000000004	2945.4	621.05	1322.3	1383.15	1370.25	986.25	1237.45	3134.65	1322.75	387.5	1072.33	708.25	275.35	2268.67	6474.48	2841.91	2011.25
1.3.1.49-RXN	0.0	0.0	0.0	0.0	21.63	8.62	25.37	0.12	0.0	0.0	0.0	12.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	9.0	0.0	0.0	0.0	0.0	0.0	3.75	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	7.12	0.0	0.0	0.0	0.25	0.0	0.0	0.0	35.0	0.0	0.0	0.25
